|sourceId| |articleId| |author| |title| |description| |url| |urlToImage| |publishedAt|
|abc-news| |0| |ABC News| |EPA chief recorded a single, one-hour meeting on day 1 of Morocco trip| |The Environmental Protection Agency has released new details about Administrator Scott Pruitt's schedule in Morocco last year.| |http://abcnews.go.com/Politics/epa-chief-recorded-single-hour-meeting-day-morocco/story?id=54619601| |https://s.abcnews.com/images/Politics/pruitt-rt-er-180409_hpMain_16x9_992.jpg| |2018-04-21T00:00:00Z|
|abc-news| |1| |ABC News| |After Facebook scrutiny, is Google next?| |Facebook has taken the lion's share of scrutiny from Congress and the media for its data-handling practices that allow savvy marketers and political agents to target specific audiences, but it's far from alone. YouTube, Google and Twitter also have giant plat…| |http://abcnews.go.com/Technology/wireStory/facebook-scrutiny-google-54630024| |NOVALUE| |2018-04-21T00:00:00Z|
|abc-news| |2| |ABC News| |CDC expands warning to consumers over tainted romaine lettuce| |The Centers for Disease Control is expanding its warning over romaine lettuce tainted with E. coli. The lettuce is responsible for at least 53 people falling ill, including 31 hospitalizations, in 16 states. The CDC had previously warned consumers only about …| |http://abcnews.go.com/Health/cdc-expands-warning-consumers-avoid-romaine-lettuce-arizona/story?id=54629549| |https://s.abcnews.com/images/US/arizona-romaine-lettuce-ap-mo-20180421_hpMain_16x9_992.jpg| |2018-04-21T00:00:00Z|
|abc-news| |3| |ABC News| |Much-needed rain arrives in Southwest hit by drought, fires| |A disturbance that developed in the high Plains is bringing a mix of rain and snow to parts of Colorado, and heavy rain and strong storms to parts of the central and southern Plains on Saturday. The storms are bringing incredibly beneficial rain to parts of t…| |http://abcnews.go.com/US/needed-rain-arrives-drought-fire-stricken-southwest/story?id=54630083| |https://s.abcnews.com/images/US/oklahoma-burned-ap-mo-20180421_hpMain_16x9_992.jpg| |2018-04-21T00:00:00Z|
|abc-news| |4| |ABC News| |Pilot killed in crash of single-engine plane in Tennessee| |Authorities say one person has been killed in a single-engine plane crash in Tennessee. The Chattanooga Times Free Press reports that a two-seat plane crashed near an airstrip while taking off at the municipal airport in Collegedale on Friday. Airport officia…| |http://abcnews.go.com/US/wireStory/pilot-killed-crash-single-engine-plane-tennessee-54635115| |NOVALUE| |2018-04-21T00:00:00Z|
|abc-news| |5| |ABC News| |1 injured in Florida high school shooting; suspect in custody, officials say| |A suspect was taken into custody Friday following a shooting at a high school in central Florida, authorities said.| |http://abcnews.go.com/US/injured-florida-high-school-shooting-suspect-custody-officials/story?id=54608040| |https://s.abcnews.com/images/US/forest-high-florida-google-ht-ps-180420_hpMain_16x9_992.jpg| |2018-04-20T00:00:00Z|
|abc-news| |6| |ABC News| |Missouri Gov. Greitens charged with second felony| |Greitens has been charged with felony computer tampering related to his alleged use of a donor list from his veterans’ charity for his 2016 gubernatorial campaign.| |http://abcnews.go.com/Politics/missouri-gov-greitens-charged-felony/story?id=54623307| |https://s.abcnews.com/images/Politics/Missouri-ap-er-180417_hpMain_2_16x9_992.jpg| |2018-04-20T00:00:00Z|
|abc-news| |7| |ABC News| |DHS confirms agreement with California on Guard troops despite Trump objections| |The Trump administration and California have reached an agreement that the state's National Guard will deploy only in support of the U.S. Border Patrol, according to a Homeland Security official, despite President Donald Trump complaining that the troops will…| |http://abcnews.go.com/Politics/dhs-confirms-agreement-california-guard-troops-trump-objections/story?id=54613576| |https://s.abcnews.com/images/US/california-border-patrol-gty-thg-180420_hpMain_16x9_992.jpg| |2018-04-20T00:00:00Z|
|abc-news| |8| |ABC News| |FAA orders emergency inspections of 352 engines following deadly Southwest incident| |The Federal Aviation Administration issued an emergency order on Friday for airlines to inspect engines like the one involved in Tuesday's fatal incident involving Southwest Airlines Flight 1380, according to an FAA spokesperson. Engines with more 30,000 tota…| |http://abcnews.go.com/US/faa-orders-emergency-inspections-352-engines-deadly-southwest/story?id=54621494| |https://s.abcnews.com/images/US/southwest_jet_engine_jd_180418_hpMain_16x9_992.jpg| |2018-04-20T00:00:00Z|
|abc-news| |9| |ABC News| |Judge denies man's request to reinstate free water program in Flint| |The case involved a man who said his home's water is contaminated.| |http://abcnews.go.com/US/judge-denies-mans-request-reinstate-free-water-program/story?id=54622967| |https://s.abcnews.com/images/US/flint-water-crisis-1-ap-thg-180420_hpMain_16x9_992.jpg| |2018-04-20T00:00:00Z|
|associated-press| |10| || |The Latest: Barbara Bush funeral procession underway| |HOUSTON (AP) — The Latest on the funeral and burial of former first lady Barbara Bush (all times local): 2:45 p.m. A funeral procession is making its way to Texas A&amp;M University for the burial of former first lady Barbara Bush. Roughly 1,500 people attend…| |https://apnews.com/cc49955ee09e43a2bfe56d5ea7fe9b35| |https://storage.googleapis.com/afs-prod/media/media:c7e8fa53e17c489e9b1d9a4eb141415e/3000.jpeg| |2018-04-21T19:52:24Z|
|associated-press| |11| |JUAN A. LOZANO| |Barbara Bush was 'first lady of the greatest generation'| |HOUSTON (AP) — Barbara Bush was the "first lady of the greatest generation." Historian Jon Meacham bestowed the title on Barbara Bush while speaking to former presidents, ambassadors and hundreds of other mourners inside the nation's largest Episcopal church …| |https://apnews.com/c482fa78580045dbb5e25c6482b60288| |https://storage.googleapis.com/afs-prod/media/media:a061727d762a499391daf6ace4dea44f/3000.jpeg| |2018-04-21T19:28:31Z|
|associated-press| |12| |JUAN A. LOZANO| |Barbara Bush was 'first lady of the greatest generation'| |HOUSTON (AP) — Barbara Bush was the "first lady of the greatest generation." Historian Jon Meacham bestowed the title on Barbara Bush while speaking to former presidents, ambassadors and hundreds of other mourners inside the nation's largest Episcopal church …| |https://apnews.com/c482fa78580045dbb5e25c6482b60288| |https://storage.googleapis.com/afs-prod/media/media:a061727d762a499391daf6ace4dea44f/3000.jpeg| |2018-04-21T19:28:31Z|
|associated-press| |13| |JILL COLVIN| |Trump says he doesn't think personal lawyer will 'flip'| |WEST PALM BEACH, Florida (AP) — President Donald Trump said Saturday that he doesn't expect Michael Cohen, his longtime personal lawyer and fixer, to "flip" as the government investigates Cohen's business dealings. Trump, in a series of tweets fired off from …| |https://apnews.com/887c4cbe5b944b9aa3b8a909bd798231| |https://storage.googleapis.com/afs-prod/media/media:cafa31091ce64445802df351017993d8/3000.jpeg| |2018-04-21T18:44:46Z|
|associated-press| |14| |DARLENE SUPERVILLE| |Vive la France: Trump hosts glitzy White House state dinner| |WASHINGTON (AP) — Now it's President Donald Trump's turn to pull off the ultimate charm offensive. Wined and dined on multiple state visits during his tour of Asia last year, Trump is paying it forward and celebrating nearly 250 years of U.S.-French relations…| |https://apnews.com/d838a9db698c457baa43f49d462592b0| |https://storage.googleapis.com/afs-prod/media/media:837d70957ebc4be0a7e43c7bd9049c9e/3000.jpeg| |2018-04-21T18:34:51Z|
|associated-press| |15| |SARAH RANKIN| |Pulitzer honoree is latest to win after leaving journalism| |RICHMOND, Va. (AP) — Ryan Kelly won a Pulitzer Prize this week for his photo of a car plowing into protesters at a white nationalist rally in Charlottesville, Virginia - an image he snapped on the final day of his newspaper job before leaving to work at a bre…| |https://apnews.com/dc312a7e503f4b7bb61a62013fea852d| |https://storage.googleapis.com/afs-prod/media/media:0fcff9034a33488899dfac3704ff658b/3000.jpeg| |2018-04-21T18:30:01Z|
